Country,Count_median
Argentina,1600.0
Bahamas,200.0
Barbados,100.0
Belize,200.0
Bolivia (Plurinational State of),1600.0
Brazil,15000.0
Canada,1000.0
Chile,810.0
Colombia,12000.0
Congo,3900.0
Costa Rica,500.0
Cuba,500.0
Dominican Republic,3000.0
Ecuador,1100.0
El Salvador,500.0
Guatemala,1700.0
Guyana,100.0
Haiti,4900.0
Honduras,1400.0
Jamaica,1800.0
Mexico,8400.0
Nicaragua,500.0
Panama,500.0
Paraguay,790.0
Peru,2100.0
Suriname,200.0
Trinidad and Tobago,840.0
United States of America,17000.0
Uruguay,500.0
Venezuela (Bolivarian Republic of),3800.0
